iter	Passed	Remaining
743	1392	479
744	1394	477
745	1395	475
746	1396	473
747	1398	471
748	1400	469
749	1402	467
750	1404	465
751	1406	463
752	1407	461
753	1409	459
754	1410	457
755	1411	455
756	1413	453
757	1414	451
758	1416	449
759	1418	447
760	1419	445
761	1421	443
762	1422	441
763	1423	439
764	1425	437
765	1426	435
766	1427	433
767	1429	431
768	1430	429
769	1431	427
770	1433	425
771	1434	423
772	1436	421
773	1437	419
774	1438	417
775	1440	415
776	1441	413
777	1442	411
778	1443	409
779	1445	407
780	1447	406
781	1449	404
782	1450	402
783	1452	400
784	1453	398
785	1455	396
786	1456	394
787	1457	392
788	1459	390
789	1460	388
790	1462	386
791	1464	384
792	1466	382
793	1468	380
794	1469	378
795	1470	376
796	1472	375
797	1473	373
798	1476	371
799	1477	369
800	1478	367
801	1480	365
802	1481	363
803	1482	361
804	1484	359
805	1485	357
806	1487	355
807	1488	353
808	1490	351
809	1491	349
810	1493	348
811	1494	346
812	1495	344
813	1497	342
814	1498	340
815	1499	338
816	1501	336
817	1503	334
818	1504	332
819	1506	330
820	1507	328
821	1509	326
822	1510	324
823	1511	322
824	1512	320
825	1514	319
826	1515	317
827	1516	315
828	1518	313
829	1520	311
830	1521	309
831	1523	307
832	1524	305
833	1526	303
834	1529	302
835	1531	300
836	1532	298
837	1535	296
838	1537	295
839	1539	293
840	1541	291
841	1543	289
842	1544	287
843	1546	285
844	1548	283
845	1549	282
846	1550	280
847	1552	278
848	1554	276
849	1555	274
850	1557	272
851	1558	270
852	1560	268
853	1561	266
854	1562	265
855	1564	263
856	1566	261
857	1567	259
858	1568	257
859	1570	255
860	1571	253
861	1573	251
862	1576	250
863	1578	248
864	1579	246
865	1580	244
866	1582	242
867	1584	240
868	1585	239
869	1587	237
870	1589	235
871	1591	233
872	1592	231
873	1593	229
874	1595	227
875	1596	226
876	1597	224
877	1599	222
878	1600	220
879	1602	218
880	1604	216
881	1605	214
882	1606	212
883	1608	211
884	1609	209
885	1610	207
886	1611	205
887	1613	203
888	1615	201
889	1616	199
890	1618	197
891	1619	196
892	1621	194
893	1622	192
894	1624	190
895	1626	188
896	1628	186
897	1629	185
898	1631	183
899	1633	181
900	1635	179
901	1636	177
902	1638	176
903	1640	174
904	1641	172
905	1643	170
906	1644	168
907	1646	166
908	1648	165
909	1650	163
910	1652	161
911	1654	159
912	1656	157
913	1658	156
914	1659	154
915	1661	152
916	1662	150
917	1664	148
918	1665	146
919	1666	144
920	1668	143
921	1669	141
922	1671	139
